,metor
0,0.11194029850746266
1,0.4917107583774252
2,0.14492753623188406
3,0.1968503937007874
4,0.03448275862068966
5,0.5304621848739496
6,0.26079963235294124
7,0.13409961685823754
8,0.38429406850459485
9,0.0
10,0.13071895424836605
11,0.0
12,0.17647058823529413
13,0.04807692307692308
14,0.0892857142857143
15,0.12820512820512822
16,0.527910323411346
17,0.06369426751592357
18,0.457685664939551
19,0.3509433962264152
20,0.32806214454154536
21,0.19900497512437812
22,0.17523364485981308
23,0.19810508182601208
24,0.09740259740259741
25,0.038167938931297704
26,0.263905325443787
27,0.10416666666666667
28,0.11494252873563221
29,0.20661157024793392
30,0.4356149398343491
31,0.6472033257747543
32,0.43338036686151993
33,0.5546810092264639
34,0.0
35,0.2818181818181818
36,0.4637579169598875
37,0.3024390243902439
38,0.0
39,0.26900584795321636
40,0.2647058823529412
41,0.03875968992248063
42,0.3292035398230088
43,0.10714285714285716
44,0.1388888888888889
45,0.20761551373796272
46,0.5378035988057775
47,0.06666666666666667
48,0.07936507936507936
49,0.22962962962962966
50,0.11627906976744187
51,0.2777777777777778
52,0.18028846153846154
53,0.0
54,0.3163120567375887
55,0.5057832792207793
56,0.35967741935483877
57,0.5437352245862885
58,0.25655172413793104
59,0.7737781459447247
60,0.05434782608695652
61,0.0
62,0.19071310116086232
63,0.2973333333333334
64,0.322624650433122
65,0.5344742063492064
66,0.05263157894736842
67,0.27521585557299844
68,0.24338624338624337
69,0.08403361344537814
70,0.2314814814814815
71,0.034013605442176874
72,0.043859649122807015
73,0.2344546381243629
74,0.24038461538461542
75,0.23255813953488375
76,0.13392857142857142
77,0.22946977834195878
78,0.1
79,0.1835029069767442
80,0.0228310502283105
81,0.0
82,0.13440860215053763
83,0.4021621621621623
84,0.22615535889872176
85,0.317948717948718
86,0.3094362745098039
87,0.6722222222222223
88,0.125
89,0.0
90,0.0
91,0.0746268656716418
92,0.15384615384615385
93,0.4689092762487258
94,0.04901960784313725
95,0.2280154486036839
96,0.30743801652892566
97,0.10101010101010102
98,0.05319148936170213
99,0.19704433497536947
100,0.19761372110365402
101,0.5792207792207792
102,0.21067415730337083
103,0.8483874759982757
104,0.40599218410768567
105,0.06097560975609757
106,0.12500000000000003
107,0.35007610350076107
108,0.09523809523809523
109,0.04310344827586207
110,0.3746698943661972
111,0.29150326797385623
112,0.7491608706183605
113,0.0
114,0.42312925170068033
115,0.24572649572649574
116,0.2721311475409836
117,0.03571428571428571
118,0.0
119,0.3292035398230089
120,0.2513513513513513
121,0.11627906976744186
122,0.22615535889872176
123,0.08571428571428572
124,0.16756756756756752
125,0.04761904761904762
126,0.43946932006633505
