,metor
0,0.11904761904761905
1,0.4780521262002744
2,0.19083969465648856
3,0.03937007874015749
4,0.0
5,0.6102825745682888
6,0.26079963235294124
7,0.42380838009563526
8,0.41894353369763204
9,0.0
10,0.125
11,0.0
12,0.11764705882352941
13,0.0423728813559322
14,0.06369426751592357
15,0.12820512820512822
16,0.71394890260631
17,0.13071895424836605
18,0.4624781849912741
19,0.34766355140186916
20,0.32806214454154536
21,0.27173913043478265
22,0.17688679245283018
23,0.1965811965811966
24,0.036231884057971016
25,0.0
26,0.2623529411764706
27,0.09523809523809523
28,0.06250000000000001
29,0.1801801801801802
30,0.44117647058823545
31,0.6289424860853432
32,0.4596480582524272
33,0.5710659898477157
34,0.0
35,0.24467054263565896
36,0.4637579169598875
37,0.3024390243902439
38,0.0
39,0.26900584795321636
40,0.12903225806451615
41,0.03875968992248063
42,0.3292035398230088
43,0.10067114093959732
44,0.07633587786259542
45,0.20851818988464954
46,0.501731406202951
47,0.10752688172043011
48,0.0813008130081301
49,0.24089767733835532
50,0.11627906976744187
51,0.24811218985976266
52,0.18028846153846154
53,0.0
54,0.17361111111111113
55,0.5727251838235295
56,0.35118110236220473
57,0.4761904761904762
58,0.35967741935483877
59,0.8115031563538777
60,0.053763440860215055
61,0.0
62,0.19071310116086232
63,0.2973333333333334
64,0.33251953125
65,0.643667861409797
66,0.05347593582887701
67,0.27521585557299844
68,0.2344546381243629
69,0.1271186440677966
70,0.22727272727272727
71,0.034013605442176874
72,0.13636363636363638
73,0.2344546381243629
74,0.24038461538461542
75,0.23255813953488375
76,0.14184397163120568
77,0.3923000076846231
78,0.1
79,0.1835029069767442
80,0.0228310502283105
81,0.0
82,0.13368983957219252
83,0.4000000000000001
84,0.1834862385321101
85,0.317948717948718
86,0.3094362745098039
87,0.6722222222222223
88,0.125
89,0.0
90,0.19604037267080746
91,0.0746268656716418
92,0.15267175572519084
93,0.4207547169811322
94,0.05747126436781609
95,0.2280154486036839
96,0.36443494776828117
97,0.10101010101010102
98,0.05319148936170213
99,0.19704433497536947
100,0.22306397306397308
101,0.530952380952381
102,0.21067415730337083
103,0.8483874759982757
104,0.04
105,0.06024096385542169
106,0.12500000000000003
107,0.31188811188811194
108,0.09523809523809523
109,0.04310344827586207
110,0.3746698943661972
111,0.3766111707841031
112,0.7038819168996684
113,0.0
114,0.37555850742663927
115,0.30065359477124187
116,0.2721311475409836
117,0.0
118,0.04761904761904762
119,0.3263157894736842
120,0.2513513513513513
121,0.08875739644970415
122,0.26084710743801653
123,0.08670520231213873
124,0.16756756756756752
125,0.04761904761904762
126,0.43946932006633505
127,0.05952380952380953
128,0.16833333333333333
129,0.049019607843137254
130,0.6002938034188035
131,0.0303030303030303
132,0.06993006993006992
133,0.23952095808383236
134,0.13245033112582782
135,0.0
136,0.21108360836083612
137,0.45731707317073167
138,0.38413413413413416
139,0.04524886877828054
140,0.2861538461538462
141,0.08720930232558138
142,0.2161815068493151
143,0.23250000000000004
144,0.12254901960784315
145,0.11029411764705882
146,0.055555555555555566
147,0.43300970873786415
148,0.25660569105691056
149,0.17857142857142855
150,0.056497175141242945
151,0.530952380952381
152,0.04761904761904762
153,0.315843621399177
154,0.0
155,0.053191489361702135
156,0.08
157,0.23281157123043394
158,0.0
159,0.25952743902439024
160,0.0
161,0.10928961748633881
162,0.04761904761904762
163,0.07936507936507936
164,0.24278846153846156
165,0.2191840277777778
166,0.0
167,0.12195121951219513
168,0.07722007722007722
169,0.14705882352941177
170,0.21315192743764177
171,0.2342796092796093
172,0.29788312840664216
173,0.42613636363636365
174,0.4275862068965517
175,0.06578947368421054
176,0.08620689655172413
177,0.05813953488372092
178,0.3116531165311654
179,0.3128136500501841
180,0.13513513513513514
181,0.1674641148325359
182,0.09950248756218906
183,0.19214703425229746
184,0.6658448389217622
185,0.42240587695133147
186,0.649464749134948
187,0.4495335029686175
