,metor
0,0.1626016260162602
1,0.5387931034482758
2,0.1968503937007874
3,0.3867676102699144
4,0.18253968253968256
5,0.6346938775510204
6,0.2551020408163265
7,0.23641725396111368
8,0.4056437389770723
9,0.16163793103448273
10,0.418061755952381
11,0.0
12,0.19480519480519481
13,0.03816793893129771
14,0.0872093023255814
15,0.03105590062111801
16,0.16949152542372883
17,0.3077682685977617
18,0.5378086419753086
19,0.4528914879792073
20,0.4022536687631027
21,0.4440461967343689
22,0.3732524909245385
23,0.1
24,0.1965811965811966
25,0.07936507936507937
26,0.07575757575757576
27,0.35119569300112685
28,0.10752688172043011
29,0.1360544217687075
30,0.20491803278688528
31,0.16447368421052633
32,0.6108276643990929
33,0.5688961988304094
34,0.613425925925926
35,0.13966480446927373
36,0.2818181818181818
37,0.47024404167261313
38,0.4523107177974434
39,0.0
40,0.36278735632183906
41,0.3517774802915366
42,0.07518796992481203
43,0.35094339622641507
44,0.09146341463414635
45,0.14492753623188406
46,0.21127393688753035
47,0.10489510489510492
48,0.06493506493506493
49,0.1968503937007874
50,0.37555850742663927
51,0.12396694214876032
52,0.1851851851851852
53,0.18564356435643564
54,0.0
55,0.3255474452554746
56,0.6332571138211383
57,0.38448275862068965
58,0.5476190476190478
59,0.26382978723404255
60,0.8175366370702633
61,0.16666666666666669
62,0.11682242990654207
63,0.3384038800705468
64,0.20103503184713375
65,0.4072580645161291
66,0.7212182061579652
67,0.062111801242236024
68,0.33049738219895286
69,0.24811218985976266
70,0.12
71,0.23364485981308414
72,0.04132231404958678
73,0.15000000000000002
74,0.2505446623093682
75,0.25
76,0.051020408163265314
77,0.10344827586206898
78,0.2364583333333333
79,0.11363636363636363
80,0.2861538461538462
81,0.0228310502283105
82,0.0
83,0.13888888888888887
84,0.3854922279792747
85,0.03906250000000001
86,0.32206632653061223
87,0.2929133858267717
88,0.2173913043478261
89,0.630952380952381
90,0.09523809523809525
91,0.0
92,0.07092198581560283
93,0.10714285714285712
94,0.16666666666666666
95,0.4653846153846154
96,0.059523809523809514
97,0.24089767733835532
98,0.3611650485436894
99,0.11904761904761903
100,0.45281026640675764
101,0.2791878172588833
102,0.03968253968253969
103,0.44285714285714284
104,0.3758169934640523
105,0.8655845194306733
106,0.03571428571428572
107,0.06097560975609757
108,0.13245033112582782
109,0.35396825396825404
110,0.10752688172043011
111,0.09375000000000001
112,0.4092548076923077
113,0.44375889890840053
114,0.7535676992690566
115,0.0
116,0.4526670074982959
117,0.2971576227390181
118,0.43859649122807015
119,0.0
120,0.12096774193548389
121,0.41333333333333333
122,0.2695652173913043
123,0.15625
124,0.04716981132075472
125,0.1234567901234568
126,0.16832579185520363
127,0.17605633802816903
128,0.5076628352490422
129,0.06944444444444445
130,0.19893048128342242
131,0.10000000000000002
132,0.6160910087719298
133,0.5624142661179699
134,0.06993006993006992
135,0.22658610271903326
136,0.042735042735042736
137,0.0
138,0.35680000000000006
139,0.5033557046979866
140,0.2884615384615385
141,0.5044843049327353
142,0.35249042145593873
143,0.1524390243902439
144,0.22544642857142855
145,0.36695447409733134
146,0.18930041152263374
147,0.43698395388689826
148,0.06756756756756757
149,0.5533333333333333
150,0.2630208333333334
151,0.15384615384615385
152,0.30243902439024395
153,0.4462348215522414
154,0.053191489361702135
155,0.4654056744649079
156,0.0
157,0.05102040816326531
158,0.08064516129032258
159,0.22924133811230588
160,0.0
161,0.2620843596059113
162,0.40754483611626474
163,0.32347826086956527
164,0.2634593356242841
165,0.15923566878980894
166,0.14150943396226415
167,0.3
168,0.13333333333333336
169,0.2254464285714286
170,0.18244219653179192
171,0.1234567901234568
172,0.17412935323383083
173,0.2382060831781502
174,0.30353913717385694
175,0.546706487473038
176,0.4831168831168831
177,0.058823529411764726
178,0.02403846153846154
179,0.06289308176100629
180,0.3116531165311654
181,0.14534883720930233
182,0.24752475247524752
183,0.13310185185185186
184,0.07281553398058252
185,0.0
186,0.6416316815973026
187,0.45231071779744353
188,0.4227074235807861
189,0.5211406096361849
190,0.11152416356877323
191,0.13513513513513514
192,0.248868778280543
193,0.11811023622047245
194,0.47365214742613465
195,0.48557692307692313
196,0.29889538661468484
197,0.6044703595724005
198,0.2113636363636364
199,0.42240587695133147
200,0.15625000000000003
201,0.2796992481203008
202,0.186
203,0.2362521363225093
204,0.07194244604316548
205,0.35778061224489793
206,0.0
207,0.08264462809917356
208,0.6110429447852761
209,0.33513513513513515
210,0.15037593984962408
211,0.051546391752577324
212,0.16447368421052633
213,0.037313432835820906
214,0.15957446808510636
215,0.346938775510204
216,0.3701492537313433
217,0.18442622950819676
218,0.19083969465648856
219,0.5798969072164949
220,0.3490542558486809
221,0.42372881355932196
222,0.23148148148148148
223,0.23509403761504602
224,0.11627906976744184
225,0.4483430799220274
226,0.2222222222222222
227,0.18635724331926865
228,0.2883720930232559
229,0.12738853503184713
230,0.26315789473684215
231,0.4989690721649485
232,0.07092198581560284
233,0.2032520325203252
234,0.15789473684210528
235,0.1214574898785425
236,0.038461538461538464
237,0.08287292817679558
238,0.5043859649122807
239,0.44375889890840053
240,0.08928571428571427
241,0.09900990099009901
242,0.42315262122025415
243,0.14285714285714288
244,0.03731343283582089
245,0.08695652173913045
246,0.5644248188405797
247,0.0892857142857143
248,0.5027027027027028
249,0.2377260981912145
250,0.17688679245283018
251,0.6818871359223301
252,0.1485148514851485
253,0.6744614512471655
254,0.27555555555555555
255,0.34090909090909094
256,0.21882352941176472
257,0.07352941176470588
258,0.479479337993421
259,0.16666666666666669
260,0.7614942528735632
261,0.04310344827586207
262,0.13761467889908258
263,0.40313308421960337
264,0.6003623188405798
265,0.09049773755656108
266,0.5613772455089819
267,0.10101010101010101
268,0.15503875968992248
269,0.7636615854608934
270,0.34307692307692317
271,0.20161290322580644
272,0.08771929824561403
273,0.5685447080291971
274,0.08771929824561404
275,0.2578450735132763
276,0.5157198014340871
277,0.04672897196261683
278,0.48387096774193555
279,0.20439560439560445
280,0.042735042735042736
281,0.3308998100664767
282,0.3135212418300654
283,0.1092896174863388
284,0.09523809523809523
285,0.7489483173076925
286,0.25641025641025644
287,0.19604037267080748
288,0.5037252996436669
289,0.06944444444444445
290,0.3650793650793651
291,0.11363636363636363
292,0.044642857142857144
293,0.21502890173410405
294,0.3292035398230088
295,0.06437768240343347
296,0.6084656084656085
297,0.1630434782608696
298,0.17799043062200956
299,0.4977817213842058
300,0.04310344827586207
301,0.544322611402451
302,0.1213592233009709
303,0.32441700960219483
304,0.12903225806451615
305,0.15789473684210525
306,0.37478991596638656
307,0.18146341463414636
308,0.18987341772151897
309,0.06410256410256411
310,0.3305785123966942
311,0.41481810115350487
312,0.13793103448275865
313,0.15625000000000003
314,0.13636363636363635
315,0.3560674495633846
316,0.09803921568627451
317,0.13636363636363638
318,0.17857142857142858
319,0.3330498866213152
320,0.24539877300613494
321,0.10752688172043011
322,0.2344546381243629
323,0.21551724137931036
324,0.16806722689075632
325,0.05952380952380953
326,0.04807692307692309
327,0.1986754966887417
328,0.4333803668615199
329,0.1685393258426966
330,0.08264462809917356
331,0.11627906976744187
332,0.6315361965681794
333,0.26382978723404255
334,0.6798993468915345
335,0.26382978723404255
336,0.5679012345679013
337,0.06622516556291391
338,0.04310344827586207
339,0.19801980198019803
340,0.36695447409733123
341,0.08928571428571429
342,0.0
343,0.11235955056179776
344,0.0
345,0.2718676122931442
346,0.10563380281690139
347,0.18866764995083576
348,0.196078431372549
349,0.3140547263681592
350,0.42720073103868417
351,0.3876262626262626
352,0.7575757575757576
353,0.1652892561983471
354,0.22727272727272732
355,0.22871376811594205
356,0.051072522982635336
357,0.09677419354838711
358,0.19013554216867473
359,0.1996527777777778
360,0.6237762237762239
361,0.4024980145837846
362,0.03105590062111801
363,0.17482517482517482
364,0.34307692307692317
365,0.03597122302158274
366,0.0813008130081301
367,0.11718749999999999
368,0.14492753623188406
369,0.5731804852039456
370,0.07772020725388601
371,0.5960431654676259
372,0.06369426751592357
373,0.09345794392523364
374,0.10489510489510492
375,0.532128514056225
376,0.4207547169811322
377,0.4043478260869566
378,0.5523333333333335
379,0.3163120567375886
380,0.5204301075268818
381,0.2544063079777365
382,0.17341040462427745
383,0.5738636363636362
384,0.35033347832390893
385,0.145985401459854
386,0.7488193624557261
387,0.0
388,0.1020408163265306
389,0.07537688442211055
390,0.39999999999999997
391,0.21475256769374415
392,0.12345679012345678
393,0.12295081967213117
394,0.14285714285714285
395,0.537987012987013
396,0.8586206896551724
397,0.11363636363636363
398,0.209471766848816
399,0.1492537313432836
